                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0093,                0.91392,                 1.2457,                0.78939,                0.70956,                0.77859,                0.48171,                 1.3372,                 1.0134,                 1.3875,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0159,                 0.9042,                 1.2432,                0.75967,                  0.767,                0.79544,                0.49241,                 1.3487,                  1.015,                 1.3764,               0.000614,               0.000614,               0.000614
                     37,                 1.0287,                0.88783,                  1.246,                 0.8335,                0.73619,                0.80988,                0.48224,                 1.3914,                0.98418,                 1.4256,              0.0005744,              0.0005744,              0.0005744
                     38,                0.98763,                0.85084,                 1.2304,                0.83013,                0.73664,                0.80411,                0.49402,                 1.3797,                0.97311,                 1.4317,              0.0005348,              0.0005348,              0.0005348
                     39,                0.97289,                0.86439,                  1.215,                0.83128,                0.72457,                0.78242,                0.47935,                 1.3515,                0.97346,                 1.4098,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.9524,                0.84076,                 1.2092,                 0.8268,                0.73714,                 0.8039,                0.50924,                 1.3203,                0.95152,                 1.3746,              0.0004556,              0.0004556,              0.0004556
                     41,                0.96913,                0.82022,                 1.2305,                0.84107,                0.73162,                0.79893,                0.49963,                 1.3454,                0.96559,                 1.3952,               0.000416,               0.000416,               0.000416
                     42,                0.93967,                0.73931,                 1.2038,                0.78374,                0.73281,                0.79374,                0.49389,                 1.3584,                0.96369,                 1.4063,              0.0003764,              0.0003764,              0.0003764
                     43,                0.91197,                0.72021,                 1.1751,                0.79341,                0.74834,                0.78825,                0.48798,                 1.3651,                0.97776,                 1.4204,              0.0003368,              0.0003368,              0.0003368
                     44,                0.89004,                0.68739,                 1.1631,                0.78214,                0.76103,                0.80055,                0.50104,                 1.3383,                0.94648,                  1.398,              0.0002972,              0.0002972,              0.0002972
                     45,                0.88876,                0.67084,                 1.1562,                0.75449,                0.78676,                0.80658,                0.50374,                 1.3233,                0.91354,                 1.3841,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.8672,                0.65073,                 1.1374,                0.82244,                   0.75,                0.80344,                0.51632,                 1.3195,                 0.9051,                 1.3977,               0.000218,               0.000218,               0.000218
                     47,                0.85878,                 0.6542,                 1.1468,                0.84173,                0.74265,                0.80665,                0.51159,                 1.3124,                 0.9128,                  1.386,              0.0001784,              0.0001784,              0.0001784
                     48,                0.85289,                0.63907,                 1.1556,                0.84685,                0.73162,                0.81693,                0.51226,                 1.3194,                0.89182,                 1.3845,              0.0001388,              0.0001388,              0.0001388
                     49,                0.84496,                0.62477,                 1.1465,                0.83958,                0.74632,                0.81253,                 0.5206,                  1.303,                0.87618,                 1.3881,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.82205,                0.60804,                 1.1248,                0.84496,                0.74632,                0.81517,                0.51693,                 1.3158,                0.88515,                 1.4006,               5.96e-05,               5.96e-05,               5.96e-05
